2000,50,1
2000,41,2
2000,49,3
2000,43,4
2000,18,5
2000,50,6
2000,23,7
2000,25,8
2000,17,9
2000,16,10
2000,27,11
2000,25,12
2000,22,13
2000,0,14
2000,32,15
2000,26,16
2000,19,17
2000,18,18
2000,19,19
2000,15,20
2001,62,1
2001,56,2
2001,70,3
2001,32,4
2001,54,5
2001,56,6
2001,33,7
2001,31,8
2001,37,9
2001,30,10
2001,23,11
2001,30,12
2001,31,13
2001,22,14
2001,29,15
2001,19,16
2001,26,17
2001,24,18
2001,0,19
2001,0,20
2002,80,1
2002,61,2
2002,45,3
2002,54,4
2002,54,5
2002,36,6
2002,30,7
2002,27,8
2002,35,9
2002,38,10
2002,29,11
2002,24,12
2002,20,13
2002,36,14
2002,57,15
2002,32,16
2002,0,17
2002,33,18
2002,12,19
2002,34,20
2003,70,1
2003,115,2
2003,77,3
2003,66,4
2003,45,5
2003,34,6
2003,30,7
2003,24,8
2003,31,9
2003,23,10
2003,29,11
2003,26,12
2003,26,13
2003,35,14
2003,31,15
2003,38,16
2003,33,17
2003,24,18
2003,37,19
2003,19,20
2004,109,1
2004,66,2
2004,77,3
2004,31,4
2004,64,5
2004,25,6
2004,29,7
2004,38,8
2004,33,9
2004,33,10
2004,29,11
2004,27,12
2004,34,13
2004,50,14
2004,31,15
2004,25,16
2004,21,17
2004,0,18
2004,17,19
2004,28,20
2005,114,1
2005,85,2
2005,69,3
2005,83,4
2005,41,5
2005,33,6
2005,52,7
2005,29,8
2005,31,9
2005,21,10
2005,37,11
2005,30,12
2005,34,13
2005,0,14
2005,34,15
2005,38,16
2005,25,17
2005,27,18
2005,20,19
2005,17,20
2006,92,1
2006,133,2
2006,78,3
2006,90,4
2006,44,5
2006,38,6
2006,30,7
2006,30,8
2006,37,9
2006,38,10
2006,43,11
2006,38,12
2006,63,13
2006,36,14
2006,44,15
2006,35,16
2006,28,17
2006,22,18
2006,34,19
2006,18,20
2007,121,1
2007,172,2
2007,101,3
2007,90,4
2007,45,5
2007,50,6
2007,40,7
2007,55,8
2007,54,9
2007,54,10
2007,53,11
2007,75,12
2007,35,13
2007,38,14
2007,37,15
2007,39,16
2007,39,17
2007,33,18
2007,27,19
2007,26,20
2008,123,1
2008,107,2
2008,167,3
2008,104,4
2008,49,5
2008,71,6
2008,46,7
2008,63,8
2008,70,9
2008,83,10
2008,42,11
2008,30,12
2008,41,13
2008,65,14
2008,46,15
2008,49,16
2008,34,17
2008,73,18
2008,34,19
2008,31,20
2009,174,1
2009,132,2
2009,111,3
2009,67,4
2009,133,5
2009,80,6
2009,121,7
2009,54,8
2009,37,9
2009,47,10
2009,45,11
2009,49,12
2009,54,13
2009,46,14
2009,30,15
2009,39,16
2009,54,17
2009,22,18
2009,38,19
2009,0,20
2010,153,1
2010,190,2
2010,174,3
2010,124,4
2010,91,5
2010,135,6
2010,58,7
2010,58,8
2010,83,9
2010,61,10
2010,37,11
2010,54,12
2010,47,13
2010,56,14
2010,50,15
2010,40,16
2010,38,17
2010,35,18
2010,14,19
2010,55,20
2011,202,1
2011,162,2
2011,143,3
2011,90,4
2011,64,5
2011,173,6
2011,63,7
2011,119,8
2011,62,9
2011,50,10
2011,35,11
2011,37,12
2011,64,13
2011,53,14
2011,38,15
2011,70,16
2011,58,17
2011,55,18
2011,50,19
2011,38,20
2012,181,1
2012,233,2
2012,179,3
2012,154,4
2012,96,5
2012,63,6
2012,132,7
2012,54,8
2012,49,9
2012,56,10
2012,51,11
2012,67,12
2012,60,13
2012,47,14
2012,72,15
2012,62,16
2012,58,17
2012,44,18
2012,46,19
2012,78,20
2013,196,1
2013,185,7
2013,176,3
2013,160,4
2013,126,2
2013,94,6
2013,68,9
2013,66,17
2013,63,14
2013,63,5
2013,56,19
2013,53,10
2013,52,16
2013,52,12
2013,47,8
2013,45,18
2013,45,13
2013,43,20
2013,42,15
2013,35,11
